topic;text
World Class;"Question: Чем отличается мобильное приложение World Class 3.0 от World Class 2.0
Answer: В World Class 3.0 появилась уникальная разработка — «Цели». Каждая цель — это тщательно подобранные тренировки, услуги спортивной медицины и World Class Spa. Всего их 5: Sport-Recovery, Wellness, снижение веса, укрепление здоровья и набор мышечной массы. Отслеживать прогресс поможет цветной шар статистики активности. Чем он ярче, тем быстрее вы достигнете результатов! Главный экран — это удобный пульт управления. Все самое важное и полезное находится в одном месте. Знакомство с возможностями клуба. В каталоге вам будут доступны тренировки и услуги из стартового пакета в зависимости от клубной карты. Просматривайте и управляйте личным расписанием в разделе «Мой план». Установка PIN-кода и быстрый вход по биометрии защитит ваши персональные и финансовые данные.

"
World Class;"Question: Как записаться на персональную или групповую тренировку в мобильном приложении World Class 3.0
Answer: На главной странице рядом с шаром активности нажать на «плюс» и выбрать тренировку, при этом сверху на страничке необходимо выбрать нужный клуб. Этот раздел дорабатывается и в ближайших релизах появится несколько удобных фильтров для поиска тренера и тренировки.

"
World Class;"Question: Как записаться на СПА услуги в World Class
Answer: Записаться на СПА услуги можно в личном кабинете на сайте и в мобильном приложении World Class 2.0; также по телефону: +7 495 788 00 00 и в приложении World Class 3.0 выбрать на главном экране ""Каталог"", затем выбрать специалиста или услуги World Class Spa и в фильтре (верхний правый угол) необходимо выбрать удобный для Вас клуб.

"
World Class;"Question: Как узнать дату начала действия клубной карты World Class
Answer: Дата начала действия клубной карты отображена в личном кабинете в разделе Клубные карты и в контракте, который вы подписали при оплате. Если вы не указали дату при оформлении, клубная карта начнет действовать с момента первого посещения клуба или автоматически на 61-й день после оплаты. (п.1.5, 1.6. Контракта). Если вы приобретали клубную карту в период предпродаж, она активируется в первый день открытия вашего клуба.

"
World Class;"Question: Как получить пропуск в World Class (браслет, клубную карту)
Answer: Получить пропуск в клуб можно в день оформления контракта после 100% оплаты или при первом посещении клуба. Специалист сервисной службы (рецепция) или менеджер отдела продаж сфотографирует вас, зарегистрирует биометрические данные и выдаст пропуск. Наши клубы открывались в разные периоды, поэтому в клубах действуют разные типы пропусков: браслет/пластиковая клубная карта/электронная клубная карта. Браслет – универсальный пропуск для прохода через турникеты, открытия\закрытия шкафчика в раздевалке, в некоторых клубах для въезда на парковку. В большинстве наших клубов вы получите браслет. Пластиковая клубная карта при каждом визите обменивается на рецепции клуба на механический ключ от шкафчика в раздевалке. Пластиковой картой невозможно открыть электронный замок в раздевалке, но в некоторых клубах этот вариант более удобен для въезда на парковку. Электронная клубная карта доступна в личном кабинете для всех членов клуба. При предъявлении на стойке сервисной службы вы так же получаете механический ключ от шкафчика в раздевалке. Условия парковки уточняйте на стойке сервисной службы вашего клуба.

"
World Class;"Question: Каковы правила аренды ячейки для хранения личных вещей в World Class
Answer: После оплаты услуги в клубе на стойке сервисной службы вам нужно подписать заявление, получить механический ключ или активировать услугу для электронного браслета. Приостановка периода оказания услуг/срока действия контракта/договора/клубной карты («заморозка») не предусматривает автоматическую приостановку срока аренды шкафа/ячейки. Механический ключ от арендного шкафа/ячейки хранится в клубе, при выходе из клуба, ключ необходимо сдать на стойку сервисной службы. Передавать ключи (замки, браслеты) от шкафов другим членам клуба или третьим лицам запрещено. Запрещается хранить в шкафах: ценные вещи, деньги, продукты питания, мокрую одежду, а также предметы, запрещенные правилами клуба и действующим законодательством РФ.

"
World Class;"Question: Можно ли оставить ребенка в детской комнате World Class
Answer: В клубе организованы игровые зоны, пользование которыми возможно детьми в возрасте от 14 месяцев до 9 лет. Время пребывания ребенка в игровой зоне составляет не более 3-х часов в течение одного дня. Во время пребывания детей в возрасте от 14 месяцев до 3 лет в игровой зоне, родителям и/или сопровождающим лицам, необходимо находиться с детьми до полной их адаптации к самостоятельному нахождению в таких зонах.

"
World Class;"Question: Как выбрать тренера в World Class
Answer: Выбирайте тренера, ориентируясь на свои личные предпочтения и ощущения. Ознакомиться с профессиональными навыками и достижениями каждого тренера можно в портфолио на сайте, в мобильном приложении в разделе Тренеры и непосредственно в клубе.

"
World Class;"Question: Как подобрать тренировки для себя в World Class
Answer: В наших клубах есть возможность выбрать формат тренировок, исходя из любых целей и пожеланий. Подбор фитнес-программ по параметрам в клубах World Class на сайте https://www.worldclass.ru/fitness_uslugi/search/.

"
World Class;"Question: Где можно найти расписание онлайн-тренировок World Class
Answer: Мы публикуем расписание онлайн-тренировок каждое воскресенье в наших социальных сетях, в VK, а также в телеграм-канале World Class @worldclassfit.

"
World Class;"Question: Есть ли онлайн-занятия для беременных в World Class
Answer: Период беременности очень деликатный и у всех проходит по-разному. Перед всеми тренировками мы рекомендуем проконсультироваться с врачом и далее подбирать нагрузку, исходя из вашей первоначальной подготовки. Мы рекомендуем начинать тренировки не раньше второго триместра, можно попробовать Soft Fitness, Total Stretch – это тренировки с низким уровнем интенсивности. Также могут подойти некоторые блоки из тренировок Les Mills Body Balance и Mobility. Обратите внимание, что во время тренировки всегда необходимо ориентироваться на свое самочувствие. Необходимо исключить упражнения на внутреннее скручивание пресса.

"
World Class;"Question: Тренеры World Class могут составить программу онлайн-тренировок
Answer: Да, вы можете написать нам через форму обратной связи, рассказав о своих целях и ограничениях по здоровью https://www.worldclass.ru/online-personal/ и мы свяжемся с вами для составления индивидуального тренировочного плана или составим программу в рамках платной персональной онлайн-тренировки.

"
World Class;"Question: Что такое outdoor-программы В World Class
Answer: Outdoor-программы – это занятия на открытом воздухе с тренерами World Class. Мы предлагаем эффективные тренировки на открытом воздухе в любое время года и на любой вкус как для новичков, так и для профессиональных спортсменов. На вводном занятии по выбранному направлению тренер поможет составить outdoor-программу, подобрать правильное оборудование и экипировку. Выберите удобный для вас формат таких тренировок: персональные, групповые или в мини-группах. Outdoor-тренировки доступны для всех. Наличие клубной карты World Class не обязательно. Посмотреть расписание, места проведения и записаться можно здесь: https://outdoor.worldclass.ru/.

"
World Class;"Question: Можно ли отправиться с World Class в фитнес-тур
Answer: Можно и нужно! World Class организует массу разных фитнес-туров как в России, так и за рубежом. Изучайте программы туров здесь: https://camp.worldclass.ru/ и отправляйтесь в фитнес-путешествие с World Class!

"
World Class;"Question: Где можно купить брендированную одежду World Class
Answer: Сайт для заказа формы: https://veter.cc/worldclass. World Class вместе с российским брендом «ВетерСайклинг» разработал брендированную одежду для занятий циклическими видами спорта. Вместе мы сделали первый в России teamstore, в котором уже сейчас вы можете заказать велоформу, беговые майки и именные стартовые костюмы для триатлона в новом фирменном дизайне World Class. Вся одежда создана из качественных и высокотехнологичных итальянских тканей с большим вниманием к деталям, учитывающим специфику циклических видов спорта. Весь производственный цикл находится в России.

"
World Class;"Question: Где можно узнать про соревнования и мероприятия World Class
Answer: Вся информация представлена на сайте https://sport.worldclass.ru/. Также информацию о мероприятиях можно получить у тренеров в клубе.

"
Michelin;"Question: Что такое звезда Мишлен
Answer: Звезда Мишлен — одна из самых престижных наград в мире гастрономии, которая присуждается ресторанам. Этот знак отличия ассоциируется с безупречным качеством еды, высоким уровнем сервиса и профессионализма. Но звезда Мишлен — это не только награда для ресторана. Она также отражает высокий уровень профессионализма шеф-повара и его команды.

"
Michelin;"Question: Как появилась звезда Мишлен
Answer: Французская компания Michelin, основанная в 1889 году братьями Андре и Эдуардом Мишлен, прославилась производством шин для автомобилей. Однако бизнес, связанный с производством шин, потребовал необычных маркетинговых решений для привлечения внимания к автотуризму, который тогда только зарождался. Чтобы стимулировать автомобилистов к путешествиям, в 1900 году компания начала выпускать красный гид Мишлен — справочник, который содержал полезную информацию для водителей, включая карты дорог, заправочные станции, гостиницы и рестораны. Спустя годы руководство Michelin заметило, что рестораны становятся все более важной частью путешествий. В 1926 году появилась первая звезда Мишлен, которая была введена для выделения ресторанов с отличной кухней. В 1931 году система была усовершенствована, и появился трехзвездочный рейтинг.

"
Michelin;"Question: Сколько уровней звезд Мишлен существует
Answer: Существует три уровня: одна звезда — «очень хороший ресторан в своей категории», две звезды — «отличная кухня, ради которой стоит сделать крюк», три звезды — «исключительная кухня, ради которой стоит совершить отдельное путешествие».

"
Michelin;"Question: Кто присуждает звезды Мишлен
Answer: Звезды присуждаются инспекторами Michelin Guide, которые инкогнито посещают рестораны и оценивают их по строгим критериям. Никто из сотрудников ресторана не знает о визите инспекторов, что обеспечивает объективность оценки.

"
Michelin;"Question: Кто такие инспекторы Мишлен
Answer: Это профессионалы ресторанного бизнеса, работающие инкогнито. Их личности держатся в строжайшей тайне.

"
Michelin;"Question: Какие критерии учитываются при присуждении звезд Мишлен
Answer: Основные критерии включают качество ингредиентов, уровень мастерства приготовления, гармонию вкусов, индивидуальность кухни и стабильность качества блюд.

"
Michelin;"Question: Что дает звезда Мишлен
Answer: Получение звезды Мишлен кардинально меняет судьбу ресторана и шеф-повара. Награда привлекает новых клиентов, увеличивает узнаваемость заведения и может значительно повысить цены на блюда. Однако с этим приходит и огромная ответственность. Заведениям необходимо постоянно поддерживать высокий уровень качества, чтобы сохранить свою звезду. В противном случае ресторан может её потерять.

"
Michelin;"Question: Можно ли потерять звезду Мишлен
Answer: Звезда Мишлен — это не пожизненная награда. Ресторан может лишиться ее, если не будет поддерживать высокий стандарт качества. Один из самых известных примеров — это японский суши-бар Sukiyabashi Jiro в Токио, который утратил звезду Мишлен, несмотря на мировую известность. Причина проста: заведение стало недоступным для широкой публики, и обычные посетители не могли туда попасть.

"
Michelin;"Question: Обязательно ли ресторан должен быть дорогим, чтобы получить звезду Мишлен
Answer: Нет, стоимость блюд не является критерием. Даже скромные заведения могут получить звезду, если предлагают исключительную кухню.

"
Michelin;"Question: Как часто проводятся проверки ресторанов для гида Мишлен
Answer: Инспекторы посещают рестораны несколько раз, чтобы убедиться, что уровень качества остается неизменно высоким. Сама система оценки остаётся тайной, а инспекторы обязаны хранить конфиденциальность.

"
Michelin;"Question: Есть ли рестораны с четырьмя звездами Мишлен
Answer: Максимально возможное количество звезд — это три. Более высоких категорий в системе Мишлен не существует, и информация о «пятизвездочных ресторанах Мишлен» является мифом.

"
Michelin;"Question: Какой ресторан первым получил три звезды Мишлен
Answer: Одним из первых ресторанов, получивших три звезды, стал «La Tour d’Argent» во Франции в 1933 году.

"
Michelin;"Question: Влияет ли интерьер ресторана на присуждение звезды
Answer: Нет, но атмосфера и комфорт оцениваются в отдельной категории гида.

"
Michelin;"Question: Может ли фастфуд-ресторан получить звезду Мишлен
Answer: Да, если он соответствует стандартам качества. Например, ресторан уличной еды в Сингапуре получил звезду Мишлен в 2016 году.

"
Michelin;"Question: Какой город имеет наибольшее количество ресторанов с тремя звездами Мишлен
Answer: Токио — город с наибольшим количеством ресторанов, имеющих три звезды.

"
Michelin;"Question: Есть ли звезды Мишлен в России
Answer: На 2025 год список ресторанов со звездами Мишлен в России насчитывает девять заведений. Из них семь обладают одной отметкой, два заведения – двумя.

"
Michelin;"Question: Какой ресторан и когда в России получил первую звезду Michelin
Answer: Первый ресторан в России со звездой Мишлен – известное в столице место «Селфи», принадлежащий Анатолию Казакову получили награду в 2021 году.

"
Michelin;"Question: Какие самые известные шеф-повара со звездами Мишлен
Answer: Ален Дюкасс: шеф-повар с 21 звездой Мишлен на разных этапах своей карьеры. Гордон Рамзи: известный британский шеф, чьи рестораны собрали 16 звезд Мишлен. Эти повара стали иконами мировой кулинарии, их рестораны входят в списки лучших заведений на планете.

"
Michelin;"Question: Какие страны с наибольшим количеством звезд Мишлен
Answer: Франция: родина награды, здесь сосредоточено более 30 ресторанов с тремя звездами. Япония: страна высококлассной кухни, в которой находятся десятки ресторанов с высшими оценками. Италия, Испания, США: эти страны тоже могут похвастаться множеством заведений с двумя и тремя звездами Мишлен.

"
